"%1$s incl tax.","%1$s 含税。"
"Error while saving this group. Please try again later.","保存该组时出错，请稍后再试。"
"Save Search","保存搜索"
"Block after Info Column","信息栏之后的区块"
"Quick Create","快速创建"
"Quick simple product creation","快速创建简单商品"
"Quick Overview","快速查看"
"Change","修改"
"Edit","修改"
"Edit Attribute Set '%s'","修改属性组合'%s'"
"Edit Product Attribute","修改商品属性"
"Edit Product Attribute ""%s""","修改商品属性""%s"""
"Change status","修改状态"
"Edit Search","修改搜索"
"Edit Search '%s'","修改搜索'%s'"
"Change or Retrieve attribute store view","修改或获取商店界面属性"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目""%s""未定义"
"Skip import row, store ""%s"" field not exists","忽略导入行，商店""%s""栏目不存在"
"Skip import row, required field ""%s"" for new customer not defined","忽略导入行，新客户的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" for new products not defined","忽略导入行，新商品的必填栏目""%s""未定义"
"Is Required","必填"
"Required","必填"
"Values Required","必填项"
"Options is required","必填选项"
"must be in the allowed values list","必须从允许取值列表中选择"
"Set root category for this store in the <a href=""%s"">configuration</a>","在<a href=""%s"">设置</a>中给该商店设置根分类"
"Display in Suggested Terms","在建议关键词中显示"
"Visible on Catalog Pages on Front-end","在前台目录页面可见"
"Delete","删除"
"Remove","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性组合"
"Delete Category","删除分类"
"Delete category","删除分类"
"Category delete error","删除分类出错"
"Delete product","删除商品"
"Remove Product","删除商品"
"Remove product image","删除商品图片"
"Remove product link","删除商品连接"
"Delete Row","删除行"
"Remove This Item","删除该项目"
"Delete Option","删除选项"
"Delete Search","删除搜索"
"Delete Selected Group","删除所选组"
"List Mode","列表模式"
"Categories","分类"
"Category","分类"
"categories","分类"
"Category API","分类 API"
"Category Navigation:","分类导航："
"Category attributes API","分类属性 API"
"Category saved","分类已保存"
"Category deleted","分类已删除"
"Category must be instance of Mage_Catalog_Model_Category","分类必须是 Mage_Catalog_Model_Category 实例"
"Category Products","分类商品"
"Categories Sitemap","分类站点地图"
"Invalid category IDs","分类编号不正确"
"Category Data","分类数据"
"Tier Pricing","分级价格"
"Create","创建"
"Create Product Settings","创建商品设置"
"Create Empty","创建空"
"Create Simple Associated Product","创建简单相关商品"
"Create (Upload)","创建（上传）"
"Create new category","创建新分类"
"Create new product","创建新商品"
"and","和"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (没有与其它商品共享)"
"For internal use. Must be unique with no spaces","内部使用，必须唯一且不含空格"
"Store","商店"
"Invalid store specified, skipping the record","商店不正确，忽略该记录"
"Store View","商店界面"
"Product","商品"
"Products","商品"
"products","商品"
"Product API","商品 API"
"Product URL Suffix","商品 URL 后缀"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Product Name","商品名称"
"Product Attribute","商品属性"
"Product Attributes","商品属性"
"Product attributes API","商品属性 API"
"Product attribute sets API","商品属性集合 API"
"Product deleted","商品已删除"
"Product saving error. ","商品保存有误。 "
"Product Information","商品信息"
"Products Information","商品信息"
"Product Info Column","商品信息栏"
"Product has required options","商品包含必选项"
"Product Categories","商品分类"
"Product Tier Price API","商品分级价格 API"
"Product Image Watermarks","商品图像水印"
"Product Image Placeholders","商品图像方框"
"Product Images","商品图片"
"Product Images API","商品图片 API"
"Products Sitemap","商品站点地图"
"Product Type","商品类型"
"Product types API","商品类型 API"
"Invalid product type specified, skipping the record","商品类型不正确，忽略该记录"
"Minimum Qty for Item's Status to be Out of Stock","商品缺货状态的最低数量"
"Use categories path for product URLs","商品网址使用分类路径"
"Product In Websites","商品网站"
"Product Description","商品说明"
"Product Reviews","商品评论"
"Products Reviews","商品评论"
"Product links API (related, cross sells, up sells)","商品连接 API （相关商品，交叉销售，推荐销售）"""
"Product duplicated","商品重复"
"Product Alerts","商品提醒"
"Product Tags","商品标签"
"Global","全站"
"Collapse All","全部叠起"
"Expand All","全部展开"
"select all","全选"
"Close Window","关闭窗口"
"Frontend","前台"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Fixed","固定"
"Static","固定"
"Static block and products","固定方框和商品"
"Country/State","国家/地区"
"Gallery","图册"
"Image","图片"
"Image not exists","图片不存在"
"Image content is not valid base64 data.","图片内容不是正确的 base64 数据。"
"Invalid image file type","图片文件类型不正确"
"Image file not found","图片文件没找到"
"Total Qty Base Items","Base 记录总数 "
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Compare Products (%d)","Compare Products (%d)"
"Status","状态"
"Disabled","禁用"
"Move","移动"
"Move category in tree","移动分类"
"Category move error","移动分类出错"
"Tax","税"
"Total incl. Tax: %1$s","税总额： %1$s"
"Empty","空"
"Pending","等待"
"Manage Attributes","管理属性"
"Manage Attribute Sets","管理属性组合"
"Manage Stock","管理库存"
"Manage Categories","管理分类"
"Manage Products","管理商品"
"Manage Product Attributes","管理商品属性"
"Manage Product Sets","管理商品组合"
"Manage Catalog Categories","管理目录分类"
"Manage Options (values of your attribute)","管理选项 (属性值)"
"Manage Label / Options","管理标签/选项"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Simple Product","简单商品"
"Type","类型"
"System","系统"
"System Properties","系统属性"
"Continue","继续"
"Results","结果"
"Number of results<br/>(For last time placed)","结果数量<br/>(最后一次)"
"Groups","组"
"Set Name","组合名称"
"Grouped Product","组合商品"
"Set Root Category For Store","给商店设置根分类"
"Zoom Out","缩小"
"Missing SKU, skipping the record","缺少 SKU，忽略该记录"
"Default price","缺省价格"
"Default Values","缺省值"
"Default value","缺省值"
"Default Qty","缺省数量"
"Out of Stock","缺货"
"Out of stock","缺货"
"Out of stock.","缺货。"
"Backorders","缺货订单"
"ID","编号"
"ID: %s","编号: %s"
"Url","网址"
"Url Rewrite Management","网址重写"
"Url rewrie save problem.","网址重写保存问题。"
"Website","网站"
"Websites","网站"
"Site Map","网站地图"
"Use in quick search","用于快速搜索"
"Use In Layered Navigation","用于分层导航"
"Use In Search Results Layered Navigation","用于分层导航搜索结果"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use To Create Configurable Product","用于创建可配置商品"
"Use in advanced search","用于高级搜索"
"Email","电子邮件"
"Special Price:","特价："
"Catalog","目录"
"Category URL Suffix","目录 URL 后缀"
"Catalog Section","目录单元"
"Catalog Price Scope","目录价格范围"
"Catalog, Search","目录，搜索"
"Associated Products","相关商品"
"Related Products","相关商品"
"Percentage","百分比"
"Date & Time Custom Options","Date & Time Custom Options"
"Date fields order","Date fields order"
"Depends on design theme","Depends on design theme"
"Retrieve attribute list","获取属性列表"
"Retrieve attribute options","获取属性选项"
"Retrieve attribute data","获取属性数据"
"Retrieve categories tree","获取分类树"
"Retrieve hierarchical tree","获取分级(目录)树"
"Retrieve product attribute sets","获取商品属性集合"
"Retrieve product","获取商品信息"
"Retrieve product tier prices","获取商品分级价格"
"Retrieve product image","获取商品图片"
"Retrieve product image list","获取商品图片列表"
"Retrieve product image types","获取商品图片类型"
"Retrieve product types","获取商品类型"
"Retrieve product link types","获取商品连接类型"
"Retrieve product link type attributes","获取商品连接类型属性"
"Retrieve products data","获取商品数据"
"Get special price","获取特价信息"
"Retrieve category attributes","获取目录属性"
"Retrieve category data","获取目录数据"
"Retrieve linked products","获取连接商品列表"
"Retrieve list of assigned products","获取指定商品列表"
"Category Top Navigation","顶部目录导航"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Page Title Separator","页面标题分隔符"
"Page:","页："
"Home","首页"
"Super product attributes configuration","高级商品属性设置"
"Subscribe to RSS Feed","订阅 RSS Feed"
"Subscribe to Feed","订阅Feed"
"Date Subscribed","订阅日期"
"Records for ""","记录"""
"Set Ascending Direction","设为升序"
"Set Descending Direction","设为降序"
"Settings","设置"
"Set/Get current store view","设置/获得当前商店界面"
"Set special price","设置特价"
"Design","设计"
"This attribute no longer exists","该属性不存在"
"Product with this combination of attributes already associated to configurable.","该属性组合的商品已与配置关联。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","该属性组包含可配置商品所使用属性。请将这些属性移到另外的属性组再试。"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"There are no customers for this alert","该提醒没有客户"
"This search no longer exists","该搜索已不存在"
"Filter model name must be declared","请定义条件的型号名称"
"Price values for options should be specified in system base currency.","请在系统基准货币中输入选项价格。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请谨慎操作，一旦您点击此行，选定文件的包数据将被导入，所有未保存的表单将会丢失。"
"Please enter a new group name","请输入新组名"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","请通过 系统-> <a href=""%s"">缓存管理</a> 刷新""目录重写""和""分层导航索引"""
"Please select one or more attributes.","请选择一个以上属性。"
"Please select  items","请选择商品"
"Please select product(s)","请选择商品"
"Please select products for attributes update","请选择商品更新属性"
"Please select static block ...","请选择固定方框 ..."
"Please add rows to option.","请添加行选项。"
"Please specify the product required option(s)","请指定产品必选项"
"Please specify the product option(s)","请指定产品选项"
"Please specify the product(s) quantity","请指定产品数量"
"Error during retrieval of option value: %s","读取选项值时出错：%s"
"Reviews","评论"
"Buy %1$s for %2$s","购买 %1$s，每件 %2$s"
"Buy %1$s for %2$s each","购买 %1$s，每件仅需 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","购买 %1$s，每件仅需 %2$s (%3$s 含税)"
"Shop by","购物"
"Minimum Qty Allowed in Shopping Cart","购物车中必须的最少商品数量"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最多商品数量"
"Cart Item Attribute","购物车商品属性"
"Shopping Options","购物选项"
"Best Value","超值"
"Is Default","默认"
"Go to Home Page","转到首页"
"Input Type","输入类型"
"Input Validation for Store Owner","输入格式"
"Link product not exists.","连接产品不存在。"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Back","返回"
"Scope","范围"
"cache refresh needed","需要刷新缓存"
"Product collection expected","需要商品组合"
"Starting at:","起价："
"Invalid category","错误的分类"
"Invalid image type.","错误的分类类型。"
"Invalid Tier Prices","错误的分级价格"
"Redirect","重定向"
"Redirect URL","重定向网址"
"Reset","重置"
"Autogenerate","自动生成"
"Custom Options","自定义选项"
"Option:","选项："
"Options Control","选项控制"
"Select Configurable Attributes ","选择可设置属性"
"Selected Product Types","选择商品类型"
"Check items to add to the cart or","选择商品添加至购物车或"
"Selected configuration is not available.","选择的设置不可用。"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Choose an Option...","选择选项..."
"Choose option...","选择选项..."
"Select type of option","选择选项类型"
"Virtual Product","虚拟商品"
"Additional Information","附加信息"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Invalid attribute %s","Invalid attribute %s"
"leave blank if its not an image","leave blank if its not an image"
"Maximum image height","Maximum image height"
"Maximum Image Size","Maximum Image Size"
"Maximum image width","Maximum image width"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"PM","PM"
"Product listing sort by","Product listing sort by"
"px.","px."
"Sitemap","Sitemap"
"SKU","SKU"
"This is a required option","This is a required option"
"Time format","Time format"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"x","x"
"Year Range","Year Range"
"[GLOBAL]","[全站]"
"Browse By","查看"
"View as","查看"
"Double click on above image to view full picture","查看全图，请双击上面的图片"
"Feature Products","推荐商品"
"Up-sells","推荐销售"
"Sort Order","排序"
"Sort by","排序"
"Tile","排列"
"Notify for Quantity Below","提醒数量低于"
"Search","搜索"
"Search Query","搜索"
"Search Engine Optimizations","搜索引擎优化"
"Search Information","搜索信息"
"Search Term with such search query already exist.","搜索关键词已存在。"
"Filter must be as object. Set correct filter please","条件必须为对象，请修改条件"
"Filters must be as array","条件必须为数组"
"Conditions Combination","条件组合"
"Root","根分类"
"Retrieve one level of categories by website/store view/parent category","根据网站/商店视图/父目录获取单层分类"
"Retrieve products list by filters","根据过滤器获取商品列表"
"Label","标签"
"Tag Name","标签名"
"Title","标题"
"Qty for Item's Status to become Out of Stock","此数量时将商品状态设置为库存不足"
"each","每个"
"Image type and information need to be specified for each store view.","每个商店界面要输入图片类型和信息。"
"per page","每页"
"Products per Page on Grid default value","每页多栏商品数量的缺省值"
"Products per Page on List default value","每页列表商品数量的缺省值"
"Compare Items","比较商品"
"Compare Products","比较商品"
"Compare Products - %d Items","比较商品 - %d件商品"
"Compare Products List","比较商品列表"
"Watermark","水印"
"Watermark Position","水印位置"
"Watermark Default Size","水印缺省大小"
"There are no %s available.","没有%s可用。"
"Not shared with other products","没有与其它商品共享"
"There are no products matching the selection.","没有与选择匹配的商品。"
"No image","没有图片"
"You have no items to compare.","没有要比较的商品。"
"Base directory to upload image file is not specified","没有设定上传图片文件的基准目录"
"No options of this product are available.","没有该商品的选项可用。"
"No product collections found","没有找到商品组合"
"Unable to find an attribute to delete","没有找到要删除的属性"
"Unable to find a search term to delete","没有找到要删除的搜索关键词"
"Error while adding customers for %s alert. Message: %s","添加%s提醒的客户时出错。信息：%s"
"Add Subcategory","添加子目录"
"Assign product to category","添加商品到分类"
"Add Tax","添加税"
"Add Root Category","添加根目录"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"There was an error while cleared compare list","清空比较列表出错"
"Clear All","清除所有"
"Clear All Items","清楚所有商品"
"Source Model","源型号"
"Enabled","激活"
"Unknown attribute: %s","未知属性：%s"
"Image not specified.","未指定图片。"
"Unassigned Attributes","未指定的属性"
"Assign","指定"
"Assign product link","指定商品链接"
"Invalid store specified","指定的商店不正确"
"In Stock","有库存"
"In stock","有库存"
"In stock.","有库存。"
"Filterable (with results)","有条件 (含结果)"
"Filterable (no results)","有条件 (不含结果)"
"Max Characters","最大字符数目"
"Maximum number of characters","最大字符数目"
"Maximal Depth","最大层数"
"Last Notification","最近提醒"
"Product %s successfully added to compare list","成功增加商品%s到比较列表"
"Product %s successfully removed from compare list","成功从比较列表中删除商品%s"
"Product was successfully saved.","成功保存商品"
"Product attribute was successfully saved","成功保存商品属性"
"Review was saved successfully","成功保存评论"
"Review was successfully saved","成功保存评论"
"Search Term was successfully saved","成功保存搜索关键词"
"Total of %d record(s) were successfully deleted","成功删除%d个记录"
"Product attribute was successfully deleted","成功删除商品属性"
"Review successfully deleted","成功删除评论"
"Search was successfully deleted","成功删除搜索"
"Compare list successfully cleared","成功删除比较列表"
"Product was successfully created.","成功创建商品。"
"Customers for alert %s was successfuly added to queue","成功添加提醒%s的客户到队列"
"Total of %d record(s) were successfully updated","成功更新%d个记录"
"OR","或"
"Yes","是"
"Yes/No","是/否"
"Show","显示"
"Show Details","显示详情"
"Show Tags","显示标签"
"New Product","新增商品"
"New Category","新分类"
"New Products","新商品"
"New Product Attribute","新商品属性"
"New Set Name","新组合名称"
"New Search","新搜索"
"Invalid block: %s","方框不正确：%s"
"Text","文字"
"Text Area","文字区域"
"Text Field","文字栏目"
"Length of text is too long","文本过长"
"None","无"
"No layout updates","无布局更新"
"Unable to get product id.","无法取得商品编号。"
"Unable to complete request. Please try again later.","无法完成请求，请稍后再试。"
"You cannot edit this attribute","无法修改该属性"
"You cannot delete this attribute","无法删除该属性"
"Can't create image.","无法创建图片。"
"Failed to move file: %s","无法移动文件：%s"
"You cannot update this attribute","无法更新该属性"
"Date","日期"
"Datetime","日期"
"You may also be interested in the following product(s)","您也许会喜欢下面的商品"
"Are you sure?","您确定吗？"
"Are you sure you would like to remove this item from the compare products?","您确定要从比较商品中删除本商品吗？"
"Are you sure you want to delete this category?","您确定要删除该分类吗？"
"For reindex enabled product(s) you need specify store or product","您需要为支持索引商品指定 store 或 product 对象参数"
"Action","操作"
"Zoom In","放大"
"Qty","数量"
"Qty Uses Decimals","数量用十进制"
"Integer","整数"
"Integer Number","整数"
"Print This Page","打印该页"
"All","所有"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","所有使用此属性集合的商品将会被删除！您确定要删除此属性集合吗？"
"ALL GROUPS","所有分组"
"All Product Types","所有商品类型"
"More Views","更多"
"Update","更新"
"Update Attributes","更新属性"
"Update attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update category","更新分类"
"Update product","更新商品"
"There was an error while updating product(s) attributes","更新商品属性时出错"
"Update product tier prices","更新商品分级价格"
"Update product image","更新商品图片"
"There was an error while updating product(s) status","更新商品状态出错"
"Update product link","更新商品连接"
"Update assigned product","更新指定商品"
"Roll Over for preview","总评"
